FEATUREID,STRATNO,MAPSYMBOL,PLOTSYMBOL,NAME,DESCR,REPAGE_URI,YNGAGE_URI,LITHOLOGY,REPLITH_UR
GA_GUP2.5M_0003413,76541,Cz,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0003414,76583,-Ppjg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Statherian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003415,76503,A2d,Ad,Archean mafic intrusives,Dolerite gabbro and other mafic igneous rocks,Archean,Archean,igneous mafic intrusive,gabbroic_rock
GA_GUP2.5M_0003416,76517,A1,As,Archean sedimentary rocks,Predominantly sedimentary rocks,Archean,Mesoarchean,sedimentary,sedimentary_rock
GA_GUP2.5M_0003417,76613,-Ppp,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Orosirian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003418,76583,-Ppjg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Statherian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003419,76615,-Ppn,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Rhyacian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003420,76670,-PnO,NOs,Neoproterozoic to Ordovician sedimentary rocks,Predominantly sedimentary rocks,Neoproterozoic,Ordovician,sedimentary,sedimentary_rock
GA_GUP2.5M_0003423,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003421,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003422,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0003424,76640,-Pmdi,Mi,Mesoproterozoic intrusive complexes,Mixed felsic mafic andor alkaline intrusives,Mesoproterozoic,Stenian,igneous intrusive,phaneritic_igneous_rock
GA_GUP2.5M_0003425,76508,A2g,Ag,Archean granites,Mainly felsic intrusive rocks,Archean,Neoarchean,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003426,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0003428,76668,-Pncg,Ng,Neoproterozoic granites,Mainly felsic intrusive rocks,Neoproterozoic,Ediacaran,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003429,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003427,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003430,76567,Klv,Kv,Cretaceous felsic to mafic volcanics,Predominantly a bimodal mixture of mafic and felsic volcanics,Cretaceous,LowerCretaceous,igneous mafic volcanic and igneous felsic volcanic,basalt
GA_GUP2.5M_0003431,76652,-Pmj,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Ectasian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003432,76543,Czy,Czu,Cenozoic alluvium,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0003434,76583,-Ppjg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Statherian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003435,76500,A3b,Ab,Archean mafic volcanics,Mainly basaltic rocks,Archean,Neoarchean,igneous mafic volcanic,basalt
